,year,BB,1B,2B,3B,HR
0,1990,0.26456617830727136,0.5167762263826488,0.7408908174714262,1.0402384835112282,1.4479551999582436
1,1991,0.31522649798232916,0.40217598135668753,0.7826826469795098,1.1945967420952586,1.3820518781145168
2,1992,0.35035466912499486,0.4588821947338236,0.6540586958678909,1.5526821037259344,1.141631003305328
3,1993,0.23922205058106258,0.48799936325730764,0.9659815932027372,1.231649584041885,1.5237362630120235
4,1994,0.24164351794099195,0.592276334647701,0.8546230452728669,1.2869164973780172,1.3058823692832344
5,1995,0.3484634367399185,0.5517992387799724,0.8576296711073692,0.632105856920823,1.4059592364526439
6,1996,0.38486509743064357,0.4799479357185681,0.9561324790063418,1.767632737811365,1.4535867950078094
7,1997,0.32445432470188873,0.5340835970814158,0.6987764819697238,1.0699580640129296,1.2378829032322938
8,1998,0.3637559053249235,0.58946035856134,0.935780350523257,0.9496557692954025,1.536123621041175
9,1999,0.3618063138752538,0.5818426174794173,0.8514583699000903,0.8544523842751682,1.4434996544985477
